#idx,lon,lat,heading_deg
92,110.64726533,35.60585388,179.77
93,110.64726538,35.60584307,89.76
94,110.64730954,35.60584321,89.76
95,110.64735370,35.60584336,89.76
96,110.64741466,35.60584356,179.77
97,110.64741472,35.60583274,269.76
98,110.64737055,35.60583260,269.76
99,110.64732639,35.60583245,269.76
100,110.64726543,35.60583225,179.77
101,110.64726549,35.60582143,89.76
102,110.64730965,35.60582157,89.76
103,110.64735381,35.60582172,89.76
104,110.64741477,35.60582192,179.77
105,110.64741482,35.60581111,269.76
106,110.64737066,35.60581096,269.76
107,110.64732650,35.60581081,269.76
108,110.64726554,35.60581061,179.77
109,110.64726560,35.60579979,89.76
110,110.64730976,35.60579993,89.76
111,110.64735392,35.60580008,89.76
112,110.64741488,35.60580029,179.77
113,110.64741493,35.60578947,269.76
114,110.64737077,35.60578932,269.76
115,110.64732661,35.60578917,269.76
116,110.64726565,35.60578897,179.77
117,110.64726570,35.60577815,89.76
118,110.64730987,35.60577830,89.76
119,110.64735403,35.60577844,89.76
120,110.64741499,35.60577865,179.77
121,110.64741504,35.60576783,269.76
122,110.64737088,35.60576768,269.76
123,110.64732672,35.60576753,269.76
124,110.64726576,35.60576733,179.77
125,110.64726581,35.60575651,89.76
126,110.64730998,35.60575666,89.76
127,110.64735414,35.60575680,89.76
128,110.64741510,35.60575701,179.77
129,110.64741515,35.60574619,269.76
130,110.64737099,35.60574604,269.76
131,110.64732683,35.60574589,269.76
132,110.64726587,35.60574569,179.77
133,110.64726592,35.60573487,89.76
134,110.64731008,35.60573502,89.76
135,110.64735425,35.60573516,89.76
136,110.64741520,35.60573537,179.77
137,110.64741526,35.60572455,269.76
138,110.64737110,35.60572440,269.76
139,110.64732693,35.60572425,269.76
140,110.64726598,35.60572405,179.77
141,110.64726601,35.60571794,89.76
142,110.64731017,35.60571809,89.76
143,110.64735433,35.60571823,89.76
144,110.64741529,35.60571844,44.67
145,110.64741529,35.60571844,359.84
146,110.64741516,35.60575450,359.84
147,110.64741504,35.60579057,359.84
148,110.64741491,35.60582663,359.84
149,110.64741479,35.60586270,359.84
150,110.64741454,35.60593245,0.00
151,110.64741454,35.60593245,179.84
152,110.64741467,35.60589639,179.84
153,110.64741480,35.60586032,179.84
154,110.64741492,35.60582425,179.84
155,110.64741505,35.60578819,179.84
156,110.64741529,35.60571844,179.84
